"id","countyid","county","lname","fname","mname","suffix","address1","address2","address3","city","state","zipcode","phone","notes","image","title","type","district","img-sm","img-md","img-lg"
"815","1","ADAIR","Payton","J.","Jeffrey","","Adair County Courthouse","220 W. Division Street","","Stilwell","OK","74960","9186966269","","jeffreypayton.jpg","Judge","District","15","1","1","1"
"816","9","CANADIAN","McCurdy","Gary","D","","Canadian County Courthouse","PO Box 730","","El Reno","OK","73036","4052621070","","garydmccurdy.jpg","Judge","Special","26","1","1","0"
"817","45","MCCURTAIN","Brock","Gary","L","","McCurtain County Courthouse","108 N. Central Avenue","","Idabel","OK","74745","5802862171","","garybrock.jpg","Judge","Special","17","1","1","1"
"820","27","GRANT","Hammontree","Jack","","","Grant County Courthouse","112 East Guthrie","","Medford","OK","73759","5803952258","","jackhammontree.jpg","Judge","Associate District","4","1","1","1"
"849","2","ALFALFA","Angle","Loren","","","Alfalfa County Courthouse","300 S. Grand","","Cherokee","OK","73728","5805962224","","lorenangle.jpg","Judge","Associate District","4","1","1","1"
"852","72","TULSA","Nightingale","Rebecca","B.","","Tulsa County Courthouse","500 S. Denver, Rm. 708","","Tulsa","OK","74103","9185965350","","rebeccanightingale.jpg","Judge","District","14","1","1","1"
"856","74","WASHINGTON","DeLapp","Curtis","L.","","Washington County Courthouse","420 S. Johnstone Street","","Bartlesville","OK","74003","9183372880","","curtisdelapp.jpg","Judge","District","11","1","1","1"
"857","45","MCCURTAIN","DeBerry","Michael","D.","","McCurtain County Courthouse","108 N. Central Avenue","","Idabel","OK","74745","5802862171","","michaeldeberry.jpg","Judge","District","17","1","1","1"
"858","53","NOWATA","Gibson","Carl","G.","","Nowata County Courthouse","229 N. Maple Street","","Nowata","OK","74048","9182730808","","carlgibson.jpg","Judge","Associate District","11","1","1","1"
"861","72","TULSA","Wall","Caroline","","","Tulsa County Courthouse","500 S. Denver, Rm. 601","","Tulsa","OK","74103","9185965313","","carolinewall.jpg","Judge","District","14","1","1","1"
"870","72","TULSA","Smith","Clifford","J.","","Tulsa County Courthouse","500 S. Denver, Rm. 347","","Tulsa","OK","74103","9185965380","","cliffordsmith.jpg","Judge","Special","14","1","1","0"
"872","55","OKLAHOMA","Parrish","Patricia","G.","","Oklahoma County Courthouse","321 Park Avenue, Rm. 712","","Oklahoma City","OK","73102","4057131156","10/6/04 from Special to District Judge","patriciaparrish.jpg","Judge","District","7","1","1","1"
"873","1","ADAIR","Brown","L.","Elizabeth","","Adair County Courthouse","220 W. Division Street","","Stilwell","OK","74960","9186962356","","elizabethbrown.jpg","Judge","Associate District","15","1","1","1"
"875","37","KINGFISHER","Davis","Robert","E.","","Kingfisher County Courthouse","PO Box 328","","Kingfisher","OK","73750","4053753869","","robertdavis.jpg","Judge","Associate District","4","1","1","1"
"876","72","TULSA","Sparkman","Rodney","","","Tulsa County Courthouse","500 S. Denver, Rm. 605","","Tulsa","OK","74103","9185965318","Changes made per Tammy Reaves email of 12/21/05","rodneysparkman.jpg","Judge","Special","14","1","1","1"
"880","55","OKLAHOMA","Shaw","Larry","","","Oklahoma County Courthouse","321 Park Avenue, Rm. 202","","Oklahoma City","OK","73102","4057131466","","larryshaw.jpg","Judge","Special","7","1","1","0"
"889","72","TULSA","Youll","David","","","Tulsa County Courthouse","500 S. Denver, Rm. 344","","Tulsa","OK","74103","9185965384","","davidyoull.jpg","Judge","Special","14","1","1","1"
"890","74","WASHINGTON","Franks","Kyra","K","","Washington County Courthouse","420 South Johnstone Street","","Bartlesville","OK","74003","9183372880","","kyrawilliams.jpg","Judge","Special","11","1","1","1"
"891","14","CLEVELAND","Walkley","Lori","","","Cleveland County Courthouse","201 S. Jones","","Norman","OK","73069","4053660639","","loriwalkley.jpg","Judge","District","21","1","1","1"
"892","14","CLEVELAND","Bonner","Stephen","","","Cleveland County Courthouse","200 S. Peters","","Norman","OK","73069","4053216251","","stephenbonner.jpg","Judge","Associate District","21","1","1","1"
"898","72","TULSA","Fitzgerald","Mary","","","Tulsa County Courthouse","500 S. Denver Avenue, Rm. 706","","Tulsa","OK","74103","9185965415","","maryfitzgerald.jpg","Judge","District","14","1","1","1"
"901","63","POTTAWATOMIE","Cawthon","David","","","Pottawatomie County Courthouse","325 N. Broadway","","Shawnee","OK","74801","4052730971","","davidcawthon.jpg","Judge","Special","23","1","1","1"
"903","51","MUSKOGEE","Thygesen","Norman","D.","","Muskogee County Courthouse","220 State Street","","Muskogee","","74401","9186837786","","normanthygesen.jpg","Judge","Associate District","15","1","1","1"
"905","8","CADDO","Hill","S.","Wyatt","","Caddo County Courthouse","201 West Oklahoma","","Anadarko","OK","73005","4052475585","","swyatthill.jpg","Judge","Associate District","6","1","1","0"
"907","55","OKLAHOMA","Welch","Allen","J","Jr","Oklahoma County Courthouse","321 Park Avenue, Rm. 217","","Oklahoma City","OK","73102","4057131442","","allenwelch.jpg","Judge","Special","7","1","1","0"
"908","54","OKFUSKEE","Parish","Lawrence","W","","Okfuskee County Courthouse","PO Box 222","","Okemah","OK","74859","9186230725","","lawrencewparish.jpg","Judge","District","24","1","1","0"
"909","19","CREEK","Golden","Douglas","W","","Creek County Courthouse","222 East Dewey","","Sapulpa","OK","74066","9182243445","","douggolden.jpg","Judge","District","24","1","1","1"
"910","8","CADDO","Stephens","David","A","","Caddo County Courthouse","201 W. Oklahoma","","Anadarko","OK","73005","4052473205","","davidastephens.jpg","Judge","Special","6","1","1","0"
"913","57","OSAGE","Kane","John","","","Osage County Courthouse","600 Grandview, Rm. 302","","Pawhuska","OK","74056","9182874767","","johnkane.jpg","Judge","District","10","1","1","1"
"917","63","POTTAWATOMIE","Engle","Dawson","","","Pottawatomie County Courthouse","325 N. Broadway","","Shawnee","OK","74801","4052734308","","dawsonengle.jpg","Judge","Associate District","23","1","1","1"
"918","19","CREEK","Ihrig","Mark","","","Creek County Courthouse","222 E. Dewey","","Sapulpa","OK","74066","9182240911","","markihrig.jpg","Judge","Associate District","24","1","1","1"
"921","7","BRYAN","Campbell","Mark","","","Bryan County Courthouse","402 W. Evergreen","","Durant","OK","74701","5809243450","","markcampbell.jpg","Presiding Judge","District","19","1","1","0"
"922","36","KAY","Ross","Philip","A","","Kay County Courthouse","PO Box 251","","Newkirk","OK","74647","5803623740","","philipross.jpg","Judge","District","8","1","1","1"
"930","72","TULSA","Pace","Kirsten","","","Tulsa County Courthouse","500 South Denver Avenue, Rm. 124","","Tulsa","OK","74103","9185965345","HD 90468","kirstenpace.jpg","Judge","Special","14","1","1","0"
"935","69","STEPHENS","Russell","G. Brent","","","Stephens County Courthouse","101 South 11th Street, Rm. 309","","Duncan","OK","73533","5804702015","","gbrentrussell.jpg","Judge","Associate District","5","1","1","1"
"937","32","HUGHES","Allen","Gordon","","","Hughes County Courthouse","PO Box 875","","Holdenville","OK","74848","4053793211","","gordonallen.jpg","Judge","Associate District","22","1","1","1"
"938","16","COMANCHE","Neuwirth","Gerald","F.","","Comanche County Courthouse","315 S.W. Fifth Street, Rm. 507","","Lawton","OK","73501","5805814575","","geraldneuwirth.jpg","Judge","District","5","1","1","1"
"939","25","GARVIN","Misak","Trisha","A","","Garvin County Courthouse","201 W. Grant Street","","Pauls Valley","OK","73075","4052386561","","trishamisak.jpg","Judge","Special","21","1","1","1"
"940","24","GARFIELD","Newby","Tom","","","Garfield County Courthouse","114 W. Broadway Ave.","","Enid","OK","73701","5802370239","","tomnewby.jpg","Judge","Associate District","4","1","1","1"
"941","24","GARFIELD","Hladik","Dennis","","","Garfield County Courthouse","114 W. Broadway Ave.","","Enid","OK","73701","5802370245","","dennishladik.jpg","Judge","District","4","1","1","1"
"947","55","OKLAHOMA","Hafar","Barry","L","","Oklahoma County Courthouse","321 Park Avenue, Rm. 113","","Oklahoma City","OK","73102","4057131167","","barryhafar.jpg","Judge","Special","7","1","1","0"
"950","72","TULSA","Kuehn","Dana","","","Tulsa County Courthouse","500 S. Denver, Rm. 701","","Tulsa","OK","74103","9185965300","","danakuehn.jpg","Judge","Associate District","14","1","1","1"
"951","72","TULSA","Moody","Dawn","","","Tulsa County Courthouse","500 S. Denver, Rm. 329","","Tulsa","OK","74103","9185965374","","dawnmoody.jpg","Judge","Special","14","1","1","0"
"952","72","TULSA","Dreiling","Theresa","","","Tulsa County Courthouse","500 S. Denver, Room 124","","Tulsa","OK","74103","9185965397","","theresadreiling.jpg","Judge","Special","14","1","1","0"
"953","15","COAL","Mowdy","D","Clay","","Coal County Courthouse","4 N. Main, Suite 12","","Coalgate","OK","74538","5809272573","","dmowdy.jpg","Judge","Associate District","25","1","1","1"
"954","17","COTTON","Flanagan","Michael","C","","Cotton County Courthouse","301 N. Broadway","","Walters","OK","73572","5808753137","","michaelflanagan.jpg","Judge","Associate District","5","1","1","1"
"955","22","DEWEY","Bozarth","Rick","","","Dewey County Courthouse","PO Box 278","","Taloga","OK","73667","5803285521","","rickbozarth.jpg","Judge","Associate District","4","1","1","1"
"956","31","HASKELL","Henderson","Brian","","","Haskell County Courthouse","202 E. Main Street, Ste. 10","","Stigler","OK","74462","9189672500","","brianhenderson.jpg","Judge","Associate District","16","1","1","1"
"957","40","LE FLORE","Sullivan","Jon","","","LeFlore County Courthouse","PO Box 1056","","Poteau","OK","74953","9186473350","","jonsullivan.jpg","Judge","District","16","1","1","1"
"958","41","LINCOLN","Kirk","Sheila","","","Lincoln County Courthouse","811 Manvel Avenue","","Chandler","OK","74834","4052581254","","sheilakirk.jpg","Judge","Associate District","23","1","1","1"
"959","44","MCCLAIN","Gray","Charles","","","McClain County Courthouse","121 N. 2nd Street, Suite 225","","Purcell","OK","73080","4055276651","","charlesgray.jpg","Judge","Associate District","21","1","1","1"
"960","46","MCINTOSH","Pratt","Jim","","","McIntosh County Courthouse","P.O. Box 269","","Eufaula","OK","74432","9186892232","","jimpratt.jpg","Judge","Associate District","18","1","1","1"
"962","55","OKLAHOMA","Graves","Bill","","","Oklahoma County Courthouse","321 Park Avenue, Rm. 800","","Oklahoma City","OK","73102","4057131456","","billgraves.jpg","Judge","District","7","1","1","1"
"963","55","OKLAHOMA","Kirby","Richard","","","Oklahoma County Courthouse","321 Park Avenue, Rm. 325","","Oklahoma City","OK","73102","4057131433","","richardkirby.jpg","Judge","Associate District","7","1","1","1"
"965","74","WASHINGTON","Vaclaw","Russell","","","Washington County Courthouse","420 S. Johnstone Street","","Bartlesville","OK","74003","9183372885","","russellvaclaw.jpg","Judge","Associate District","11","1","1","1"
"967","67","SEMINOLE","Olsen","Timothy","L","","Seminole County Courthouse","P.O. Box 678","","Wewoka","OK","74884","4052573386","","timothyolsen.jpg","Judge","Associate District","22","1","1","1"
"968","72","TULSA","Palmer","Wilma","","","Tulsa Juvenile Center","315 Gilcrease Museum Rd.","","Tulsa","OK","74127","9185965909","","wilmapalmer.jpg","Judge","Special","14","1","1","1"
"969","75","WASHITA","Kelly","Christopher","","","Washita County Courthouse","111 East Main Street","","Cordell","OK","73632","5808323226","","christopherkelly.jpg","Judge","Associate District","2","1","1","1"
"972","24","GARFIELD","Woodward","Paul","K","","Garfield County Courthouse","114 West Broadway","","Enid","OK","73701","5802375031","","paulwoodward.jpg","Presiding Judge","District","4","1","1","1"
"974","56","OKMULGEE","Pickering","Cindy","","","Okmulgee County Courthouse","314 W. 7th Street, Ste. 100","","Okmulgee","OK","74447","9187561835","","cindypickering.jpg","Judge","Associate District","24","1","1","1"
"975","33","JACKSON","Leverett","Brad","D","","Jackson County Courthouse","101 N. Main, Ste. 305","","Altus","OK","73521","5804821980","","bradleverett.jpg","Judge","Special","3","1","1","1"
"976","9","CANADIAN","McCurdy","Jack","","","Canadian County Courthouse","P.O. Box 730","","El Reno","OK","73036","4052621070","","jackmccurdy.jpg","Judge","Special","26","1","1","1"
"979","73","WAGONER","Kirkley","Douglas","A","","Wagoner County Courthouse","307 E. Cherokee Street","","Wagoner","OK","74467","9184857938","","douglaskirkley.jpg","Judge","Special","15","1","1","1"
"981","9","CANADIAN","Hughey","Bob","","","Gary E. Miller Children's Justice Center","7905 E. Hwy. 66","","El Reno","OK","73036","4052645530","","bobhughey.jpg","Judge","Associate District","26","1","1","0"
"982","55","OKLAHOMA","Easter","Donald","L","","Oklahoma County Courthouse","321 Park Avenue, Room 600","","Oklahoma City","OK","73102","4057137104","","donaldeaster.jpg","Judge","Special","7","1","1","1"
"983","66","ROGERS","Crosson","Terrell","S","","Rogers County Courthouse","200 S. Lynn Riggs Blvd.","","Claremore","OK","74017","9189234966","","terrellscrosson.jpg","Judge","Special","12","1","1","0"
"984","62","PONTOTOC","Kessinger","Steven","","","Pontotoc County Courthouse","120 W. 13th Street","","Ada","OK","74821","5803328940","","stevenkessinger.jpg","Judge","District","22","1","1","1"
"988","65","ROGER MILLS","VerSteeg","F","Pat","","Roger Mills County Courthouse","PO Box 737","","Cheyenne","OK","73628","5804973359","","fpatversteeg.jpg","Judge","Associate District","2","1","1","1"
"989","60","PAYNE","Kistler","Stephen","R","","Payne County Courthouse","606 S. Husband","","Stillwater","OK","74074","4053723999","","stephenkistler.jpg","Judge","Associate District","9","1","1","1"
"996","77","WOODWARD","Work","Don","A","","Woodward County Courthouse","1600 Main Street Suite 6","","Woodward","OK","73801","5802563566","","donwork.jpg","Judge","Associate District","4","1","1","1"
"997","14","CLEVELAND","Tupper","Michael","D","","Cleveland County Courthouse","201 S. Jones","","Norman","OK","73069","4053299788","","michaeltupper.jpg","Judge","Special","21","1","1","1"
"998","49","MAYES","Taylor","Shawn","S.","","Mayes County Courthouse","One Court Pl., Rm. 210","","Pryor","OK","74361","9188250960","","shawntaylor.jpg","Judge","Associate District","12","1","1","1"
"999","42","LOGAN","Duel","Louis","A","","Logan County Courthouse","301 E. Harrison, Rm. 203","","Guthrie","OK","73044","4052826114","","lukeduel.jpg","Judge","Associate District","9","1","1","0"
"1000","20","CUSTER","Dirickson","Donna","L","","Custer County Courthouse","P. O. Box 180","","Arapaho","OK","73620","5803233456","","donnadirickson.jpg","Judge","Special","2","1","1","1"
"1001","10","CARTER","Baldwin","Thomas","K.","","Carter County Courthouse","20 B Street S.W. Rm. 304","","Ardmore","OK","73401","5802233803","","thomasbaldwin.jpg","Judge","Associate District","20","1","1","1"
"1002","72","TULSA","Glassco","Kurt","G","","Tulsa County Courthouse","500 S. Denver Ave., Rm. 401","","Tulsa","OK","74103","9185965320","","kurtglassco.jpg","Judge","District","14","1","1","0"
"1003","64","PUSHMATAHA","Wallace","Jana","Kay","","Pushmataha County Courthouse","302 S.W. B","","Antlers","OK","74523","5802982553","","janawallace.jpg","Judge","Associate District","17","1","1","1"
"1004","55","OKLAHOMA","McGuire","Lynne","","","Oklahoma County Courthouse","321 Park Ave., Rm. 109","","Oklahoma City","OK","73102","4057131113","Replacing Judge Paddleford (retired)","lynnemcguire.jpg","Judge","Special","7","1","1","1"
"1005","55","OKLAHOMA","Davis","Lisa","T","","Oklahoma Juvenile Justice Center","5905 Classen Court, Courtroom A, Ste. 205","","Oklahoma City","OK","73118","4057136796","","lisadavis.jpg","Judge","District","7","1","1","1"
"1009","55","OKLAHOMA","Oakes","Martha","","","Oklahoma County Courthouse","321 Park Avenue, Rm. 105","","Oklahoma City","OK","73102","4057131116","","marthaoakes.jpg","Judge","Special","7","1","1","1"
"1010","71","TILLMAN","Benson","Brad","L.","","Tillman County Courthouse","PO Box 97","","Frederick","OK","73542","5803353710","","bradbenson.jpg","Judge","Associate District","3","1","1","1"
"1011","73","WAGONER","Shook","Dennis","N","","Wagoner County Courthouse","307 East Cherokee","","Wagoner","OK","74467","9184859599","Replaced Darrell Shepherd","dennisnshook.jpg","Judge","Associate District","15","1","1","0"
