"id","phone","fax","clerk","county","abbreviation","hours","lunch","website","address1","address2","address3","city","zip","plus4","state","location","partynamesid","district","img-sm","img-md","img-lg"
"13","5805442221","5805442006","Debbie Kincannon","CIMARRON","CI","9:00am to 5:00pm","12:00pm to 1:00pm","","Cimarron County Courthouse","Courthouse Square-Main St.","P.O. Box 788","Boise City","73933","0788","OK","1","295127","1","1","0","0"
"14","4053216402","","Marilyn Williams","CLEVELAND","CL","8:00am to 5:00pm","","","Cleveland County Courthouse","200 S. Peters Ave.","","Norman","73069","6070","OK","1","63713","21","1","0","0"
"15","5809272281","5809272339","LaDonna Flowers","COAL","CO","8:00am to 4:00pm","","","Coal County Courthouse","4 N. Main St.","","Coalgate","74538","2844","OK","1","63686","25","0","0","0"
"16","5803554017","5802485068","Robert Morales","COMANCHE","CM","8:00am to 5:00pm","","","Comanche County Courthouse","315 S.W. 5th St.","","Lawton","73501","4327","OK","1","12742341","5","1","0","0"
"17","5808753029","5808752288","Janet Shively","COTTON","CN","8:00am to 4:00pm","","","Cotton County Courthouse","301 N. Broadway","","Walters","73572","1271","OK","1","63714","5","1","0","0"
"18","9182566451","9182569001","Deborah Mason","CRAIG","CG","8:30am to 4:30pm","","","Craig County Courthouse","201 W. Delaware","Suite 201","Vinita","74301","","OK","1","63689","12","1","0","0"
"19","9182272525","9182275030","Amanda Vanorsdol","CREEK","CK","8:00am to 5:00pm","","","Creek County Courthouse","222 E. Dewey Ave.","Suite 201","Sapulpa","74066","4237","OK","1","63715","24","0","0","0"
"20","5803233233","5803311121","Staci Hunter","CUSTER","CU","8:00am to 4:00pm","","","Custer County Courthouse","603 B St.","P.O. Box D","Arapaho","73620","0240","OK","1","12742657","2","1","0","0"
"21","9182534420","9182535739","Caroline Weaver","DELAWARE","DW","8:00am to 4:30pm","","","Delaware County Courthouse","","P.O. Box 407","Jay","74346","0407","OK","1","295125","13","1","0","0"
"22","5803285521","5803285658","Rachelle Rogers","DEWEY","DE","8:00am to 4:00pm","","","Dewey County Courthouse","Broadway & Ruble","P.O. Box 278","Taloga","73667","0278","OK","1","63693","4","1","0","0"
"23","5808857255","5808857506","Sally Wayland","ELLIS","EL","8:30am to 4:30pm","","","Ellis County Courthouse","100 S. Washington St.","P.O. Box 217","Arnett","73832","0217","OK","1","63694","2","1","0","0"
"24","5802370232","5805482430","Janelle M. Sharp","GARFIELD","GA","8:00am to 4:30pm","","","Garfield County Courthouse","114 W. Broadway Ave.","","Enid","73701","4024","OK","1","12745847","4","1","0","0"
"25","4052385596","4052381138","Cindy Roberts","GARVIN","GV","8:30am to 4:30pm","","","Garvin County Courthouse","201 W. Grant St.","P.O. Box 239","Pauls Valley","73075","3248","OK","1","63696","21","1","0","0"
"26","4052247446","4052240514","Lisa Hannah","GRADY","GD","8:00am to 4:30pm","","","Grady County Courthouse","4th & Choctaw St.","P.O. Box 605","Chickasha","73023","0605","OK","1","63697","6","1","0","0"
"27","5803952828","","Deana Kilian","GRANT","GN","8:00am to 4:30pm","","","Grant County Courthouse","112 E. Guthrie St.","Room 202","Medford","73759","1224","OK","1","63718","4","1","0","0"
"28","5807823665","5807824026","Rhonda Henry","GREER","GR","8:00am to 4:00pm","","","Greer County Courthouse","106 E. Jefferson","P.O. Box 216","Mangum","73554","0216","OK","1","63699","3","1","0","0"
"29","5806883617","5806882900","Stacy Macias","HARMON","HM","8:00am to 4:00pm","","","Harmon County Courthouse","114 W. Hollis St.","","Hollis","73550","3053","OK","1","12742307","3","0","0","0"
"30","5807352010","5807352787","Susan Breon","HARPER","HP","8:00am to 4:00pm","","","Harper County Courthouse","311 S.E. 1st St.","P.O. Box 347","Buffalo","73834","9500","OK","1","63701","1","0","0","0"
"31","9189673323","9189672819","Robin Rea","HASKELL","HS","8:00am to 4:30pm","","","Haskell County Courthouse","202 E. Main St.","Suite 9","Stigler","74462","2439","OK","1","63719","16","1","0","0"
"32","4053793384","4053793204","Patty Tilley","HUGHES","HU","8:00am to 4:30pm","","","Hughes County Courthouse","200 N. Broadway","P.O. Box 32","Holdenville","74848","0032","OK","1","63720","22","1","0","0"
"33","5804820448","5804820920","Rhonda Stepanovich","JACKSON","JK","8:00am to 4:00pm","","","Jackson County Courthouse","PO Box 616","","Altus","73521","","OK","1","12742658","3","1","0","0"
"34","5802282961","5802283242","Kimberly Berry","JEFFERSON","JF","8:00am to 4:00pm","","","Jefferson County Courthouse","220 N. Main St.","3rd Floor","Waurika","73573","2235","OK","1","63722","5","1","0","0"
"35","5803713281","5803712199","Cassandra Slover","JOHNSTON","JS","8:30am to 4:30pm","","","Johnston County Courthouse","403 West Main ","Suite 201","Tishomingo","73460","0218","OK","1","63723","20","1","0","0"
"36","5803623350","5803621129","Marilee Thornton","KAY","KA","8:00am to 4:30pm","","","Kay County Courthouse","201 S. Main Street","P.O. Box 428","Newkirk","74647","0428","OK","1","63724","8","1","0","0"
"37","4053753813","4053754249","Lisa Markus","KINGFISHER","KF","8:00am to 4:30pm","","","Kingfisher County Courthouse","101 S. Main St.","P.O. Box 328","Kingfisher","73750","3241","OK","1","63725","4","1","0","0"
"38","5807265125","5807262340","Kay Richards","KIOWA","KI","8:00am to 4:00pm","","","Kiowa County Courthouse","P.O. Box 854","","Hobart","73651","4040","OK","1","63726","3","0","0","0"
"39","9184652011","9184653328","Melinda Brinlee","LATIMER","LA","8:30am to 4:30pm","","","Latimer County Courthouse","109 N. Central Street","","Wilburton","74568","2440","OK","1","63727","16","1","0","0"
"40","9186473181","","Melba Hall","LE FLORE","LE","8:00am to 4:30pm","","","LeFlore County Courthouse","110 Front St.","P.O. Box 688","Poteau","74953","0688","OK","1","63728","16","1","0","0"
"41","4052581309","4052583067","Cindy Kirby","LINCOLN","LI","8:30am to 4:30pm","","","Lincoln County Courthouse","P.O. Box 307","","Chandler","74834","0307","OK","1","63729","23","1","0","0"
"42","4052820123","4052827661","Cheryl Smith","LOGAN","LO","8:30am to 4:30pm","","","Logan County Courthouse","201 Courthouse","301 E. Harrison Street","Guthrie","73044","4939","OK","1","63730","9","1","0","0"
"43","5802762235","","Kim Jackson","LOVE","LV","8:00am to 4:30pm","","","Love County Courthouse","405 W. Main Street","","Marietta","73448","2848","OK","1","63731","20","1","0","0"
"47","5802274690","5802271275","Shauna Hoffman","MAJOR","MJ","8:30am to 4:30pm","","","Major County Courthouse","500 E. Broadway St.","","Fairview","73737","2243","OK","1","63732","4","1","0","0"
"48","5807953278","5807952169","Wanda Pearce","MARSHALL","MS","8:30am to 5:00pm","12:00pm to 12:30pm","","Marshall County Courthouse","P.O. Box 58","","Madill","73446","0058","OK","1","63733","20","1","0","0"
"49","9188252185","9188254415","Rita Harrison","MAYES","MY","9:00am to 5:00pm","","","Mayes County Courthouse","1 Court Place","Suite 200","Pryor","74361","1018","OK","1","63734","12","1","0","0"
"44","4055273221","4055271856","Kristel Gray","MCCLAIN","ML","8:00am to 4:30pm","","","McClain County Courthouse","121 N. 2nd Street, Ste. 231","","Purcell","73080","0648","OK","1","63735","21","1","0","0"
"45","5802863693","5802867095","Vicki Justus","MCCURTAIN","MC","8:00am to 4:00pm","","","McCurtain County Courthouse","108 N. Central Ave.","P.O. Box 1378","Idabel","74745","3835","OK","1","63736","17","0","0","0"
"46","9186892282","9186892995","Lisa Rodebush","MCINTOSH","MT","8:00am to 4:00pm","","","McIntosh County Courthouse","110 N. First St.","P.O. Box 426","Eufaula","74432","0426","OK","1","63737","18","1","0","0"
"50","5806223223","5806222979","Christie Pittman","MURRAY","MR","8:00am to 4:30pm","12:00pm to 1:00pm","","Murray County Courthouse","1001 W Wyandotte Ave","","Sulphur","73086","","OK","1","32052","20","1","0","0"
"51","9186827873","9186841696","Paula Sexton","MUSKOGEE","MG","8:00am to 4:30pm","","","Muskogee County Courthouse","220 State Street","P. O. Box 1350","Muskogee","74402","6642","OK","1","12742616","15","1","0","0"
"52","5803365187","","Hillary Vorndran","NOBLE","NB","8:00am to 4:30pm","","","Noble County Courthouse","300 Courthouse Drive, #14","Box 14","Perry","73077","6649","OK","1","63738","8","1","0","0"
"53","9182730127","9182732207","April Frauenberger","NOWATA","NW","8:00am to 4:30pm","","","Nowata County Courthouse","229 N. Maple Street","","Nowata","74048","2654","OK","1","63739","11","1","0","0"
"54","9186230525","9186232687","Sherri Foreman","OKFUSKEE","OF","8:00am to 4:30pm","","","Okfuskee County Court House","3rd and Atlanta St.","P.O. box 30","Okemah","74859","0106","OK","1","63740","24","1","0","0"
"55","4057131705","","Rick Warren","OKLAHOMA","OK","8:00am to 5:00pm","","http://www.oklahomacounty.org","Oklahoma County Courthouse","320 Robert S. Kerr Avenue","409 County Office Bldg.","OKC","73102","3604","OK","1","32787","7","0","0","0"
"56","9187563042","9187581237","Charly Criner","OKMULGEE","OM","8:00am to 4:30pm","","","Okmulgee County Courthouse","314 W. 7th Street","Suite 305","Okmulgee","74447","5012","OK","1","63741","24","1","0","0"
"57","9182874104","","Jennifer Burd","OSAGE","OS","9:00am to 5:00pm","","","Osage County Courthouse","600 Grandview Avenue","","Pawhuska","74056","4259","OK","1","32751","10","1","0","0"
"58","9185422801","9185403278","Cassie Key","OTTAWA","OT","9:00am to 5:00pm","12:00pm to 1:00pm","","Ottawa County Courthouse","102 E. Central Ave.","Suite 203","Miami","74354","7030","OK","1","63742","13","1","0","0"
"59","9187622547","","Janet Dallas","PAWNEE","PA","8:00am to 4:30pm","","","Pawnee County Courthouse","500 Harrison Street, #300","","Pawnee","74058","2567","OK","1","63743","14","1","0","0"
"60","4053724774","4053722654","Lori Allen","PAYNE","PY","8:00am to 5:00pm","","","Payne County Courthouse","606 S. Husband Street","Suite 206","Stillwater","74074","4044","OK","1","12742417","9","1","0","0"
"61","9184234859","9184261886","Cindy Ledford","PITTSBURG","PB","8:00am to 5:00pm","","","Pittsburgh County Courthouse","115 E. Carl Albert Parkway","","McAlester","74501","5020","OK","1","32302","18","1","0","0"
"62","5803325763","5803325766","Karen Dunnigan","PONTOTOC","PT","8:00am to 4:00pm","","","Pontotoc County Courthouse","120 W. 13th Street","","Ada","74820","","OK","1","63745","22","1","0","0"
"63","4052733624","4058785525","Valerie Ueltzen","POTTAWATOMIE","PW","8:30am to 5:00pm","","","Pottawatomie County Courthouse","325 N. Broadway St.","","Shawnee","74801","6938","OK","1","63746","23","1","0","0"
"64","5802982274","5802983696","Tina Freeman","PUSHMATAHA","PU","8:00am to 4:30pm","","","Pushmataha County Courthouse","203 S.W. 3rd St.","","Antlers","74523","3899","OK","1","63747","17","0","0","0"
"65","5804973361","5804972167","Jan Bailey","ROGER MILLS","RM","8:00am to 4:30pm","","","Roger Mills County Courthouse","480 L. L. Males Abe.","P.O. Box 409","Cheyenne","73628","","OK","1","63748","2","1","0","0"
"66","9189234961","9189234567","Kim Henry","ROGERS","RG","8:00am to 5:00pm","","","Rogers County Courthouse","200 S. Lynn Riggs Blvd.","","Claremore","74017","","OK","1","63749","12","1","0","0"
"67","4052576236","4052572631","Kimberly Davis","SEMINOLE","SM","8:00am to 4:00pm","","","Seminole County Courthouse","120 S. Wewoka Ave.","P.O. Box 130","Wewoka","74884","2638","OK","1","63750","22","1","0","0"
"68","9187754411","9187751223","Vicki Beaty","SEQUOYAH","SQ","8:00am to 4:00pm","","","Sequoyah County Courthouse","120 E. Chickasaw St.","Ste. 205","Sallisaw","74955","4623","OK","1","63751","15","1","0","0"
"73","9184854508","9184855836","Jim Hight","WAGONER","WG","8:00am to 4:30pm","","","Wagoner County Courthouse","307 E. Cherokee St.","P.O. Box 249","Wagoner","74467","4705","OK","1","63756","15","1","0","0"
"74","9183372870","9183372897","Jill Spitzer","WASHINGTON","WS","8:00am to 5:00pm","","http://www.countycourthouse.org","Washington County Courthouse","420 S. Johnstone Ave.","","Bartlesville","74003","6602","OK","1","63757","11","0","0","0"
"75","5808323836","5808324123","Carol Corbett","WASHITA","WH","8:00am to 4:00pm","","","Washita County Courthouse","101 Main Street","P.O. Box 397","Cordell","73632","0397","OK","1","63758","2","1","0","0"
"76","5803273119","","Staci Davey","WOODS","WD","9:00am to 5:00pm","","","Woods County Courthouse","407 Government St.","Ste. 30","Alva","73717","0924","OK","1","63759","4","1","0","0"
"77","5802563413","5802546807","Tammy Roberts","WOODWARD","WW","9:00am to 5:00pm","","","Woodward County Courthouse","1600 Main St.","","Woodward","73801","3068","OK","1","63760","4","1","0","0"
"69","5804702000","","Dana Blevins","STEPHENS","SP","8:30am to 4:30pm","","","Stephens County Courthouse","101 S. 11th St.","","Duncan","73533","4758","OK","1","63752","5","1","0","0"
"70","5803383003","5803383819","M. Renee Ellis","TEXAS","TX","9:00am to 5:00pm","","","Texas County Courthouse","319 N. Main St.","P.O. Box 1081","Guymon","73942","4843","OK","1","63753","1","1","0","0"
"71","5803353023","5803355613","Kevin Stevens","TILLMAN","TM","8:00am to 4:00pm","","","Tillman County Courthouse","","P.O. Box 116","Frederick","73542","0116","OK","1","63754","3","1","0","0"
"72","9185965000","9185965402","Don Newberry","TULSA","TU","8:30am to 5:00pm","","","Tulsa County Courthouse","500 S. Denver Ave","","Tulsa","74103","3861","OK","1","63755","14","0","0","0"
